cluster_id,lat,lng,pixels,area_sqm,area_acres,severity,google_maps_link
2310,42.492758,-71.089412,577,57700,14.257,severe,"https://www.google.com/maps/@42.492758,-71.089412,18z"
3048,42.48561,-71.094111,157,15700,3.879,severe,"https://www.google.com/maps/@42.48561,-71.094111,18z"
2857,42.487418,-71.085932,143,14300,3.533,severe,"https://www.google.com/maps/@42.487418,-71.085932,18z"
187,42.507915,-71.072067,137,13700,3.385,severe,"https://www.google.com/maps/@42.507915,-71.072067,18z"
2552,42.490519,-71.083084,125,12500,3.089,severe,"https://www.google.com/maps/@42.490519,-71.083084,18z"
179,42.507651,-71.078697,113,11300,2.792,severe,"https://www.google.com/maps/@42.507651,-71.078697,18z"
1623,42.498397,-71.080627,109,10900,2.693,severe,"https://www.google.com/maps/@42.498397,-71.080627,18z"
357,42.50674,-71.074313,107,10700,2.644,severe,"https://www.google.com/maps/@42.50674,-71.074313,18z"
2067,42.495445,-71.094439,100,10000,2.471,severe,"https://www.google.com/maps/@42.495445,-71.094439,18z"
1420,42.498569,-71.094502,98,9800,2.422,severe,"https://www.google.com/maps/@42.498569,-71.094502,18z"
2422,42.492427,-71.081473,91,9100,2.249,severe,"https://www.google.com/maps/@42.492427,-71.081473,18z"
2364,42.49314,-71.082731,89,8900,2.199,severe,"https://www.google.com/maps/@42.49314,-71.082731,18z"
2275,42.494091,-71.081199,79,7900,1.952,severe,"https://www.google.com/maps/@42.494091,-71.081199,18z"
2554,42.490913,-71.081415,79,7900,1.952,severe,"https://www.google.com/maps/@42.490913,-71.081415,18z"
9,42.509646,-71.080281,77,7700,1.903,severe,"https://www.google.com/maps/@42.509646,-71.080281,18z"
1834,42.496813,-71.066546,77,7700,1.903,severe,"https://www.google.com/maps/@42.496813,-71.066546,18z"
1518,42.49911,-71.0811,70,7000,1.73,severe,"https://www.google.com/maps/@42.49911,-71.0811,18z"
2944,42.486692,-71.091374,70,7000,1.73,severe,"https://www.google.com/maps/@42.486692,-71.091374,18z"
1848,42.496852,-71.072397,67,6700,1.656,severe,"https://www.google.com/maps/@42.496852,-71.072397,18z"
1138,42.501306,-71.094477,66,6600,1.631,severe,"https://www.google.com/maps/@42.501306,-71.094477,18z"
2999,42.486363,-71.088185,64,6400,1.581,severe,"https://www.google.com/maps/@42.486363,-71.088185,18z"
781,42.503981,-71.086327,63,6300,1.557,severe,"https://www.google.com/maps/@42.503981,-71.086327,18z"
964,42.502742,-71.093365,58,5800,1.433,severe,"https://www.google.com/maps/@42.502742,-71.093365,18z"
1893,42.496623,-71.059211,57,5700,1.408,severe,"https://www.google.com/maps/@42.496623,-71.059211,18z"
3022,42.486055,-71.060788,57,5700,1.408,severe,"https://www.google.com/maps/@42.486055,-71.060788,18z"
2527,42.491082,-71.091911,55,5500,1.359,severe,"https://www.google.com/maps/@42.491082,-71.091911,18z"
2647,42.490045,-71.085478,55,5500,1.359,severe,"https://www.google.com/maps/@42.490045,-71.085478,18z"
1814,42.496942,-71.084411,50,5000,1.235,severe,"https://www.google.com/maps/@42.496942,-71.084411,18z"
2381,42.493388,-71.091883,48,4800,1.186,severe,"https://www.google.com/maps/@42.493388,-71.091883,18z"
1684,42.498251,-71.063582,47,4700,1.161,severe,"https://www.google.com/maps/@42.498251,-71.063582,18z"
1803,42.49713,-71.091393,47,4700,1.161,severe,"https://www.google.com/maps/@42.49713,-71.091393,18z"
1767,42.497277,-71.094597,45,4500,1.112,severe,"https://www.google.com/maps/@42.497277,-71.094597,18z"
2494,42.492062,-71.083265,43,4300,1.063,severe,"https://www.google.com/maps/@42.492062,-71.083265,18z"
846,42.503359,-71.094514,41,4100,1.013,severe,"https://www.google.com/maps/@42.503359,-71.094514,18z"
2286,42.49413,-71.067696,40,4000,0.988,severe,"https://www.google.com/maps/@42.49413,-71.067696,18z"
13,42.509469,-71.071514,39,3900,0.964,severe,"https://www.google.com/maps/@42.509469,-71.071514,18z"
195,42.508216,-71.058322,39,3900,0.964,severe,"https://www.google.com/maps/@42.508216,-71.058322,18z"
1927,42.49642,-71.093876,39,3900,0.964,severe,"https://www.google.com/maps/@42.49642,-71.093876,18z"
2309,42.49406,-71.091228,39,3900,0.964,severe,"https://www.google.com/maps/@42.49406,-71.091228,18z"
1113,42.501788,-71.076976,38,3800,0.939,severe,"https://www.google.com/maps/@42.501788,-71.076976,18z"
1562,42.499156,-71.07193,38,3800,0.939,severe,"https://www.google.com/maps/@42.499156,-71.07193,18z"
2268,42.494493,-71.062506,37,3700,0.914,severe,"https://www.google.com/maps/@42.494493,-71.062506,18z"
73,42.509208,-71.085139,36,3600,0.89,severe,"https://www.google.com/maps/@42.509208,-71.085139,18z"
1390,42.500266,-71.072874,36,3600,0.89,severe,"https://www.google.com/maps/@42.500266,-71.072874,18z"
1504,42.499478,-71.064037,35,3500,0.865,severe,"https://www.google.com/maps/@42.499478,-71.064037,18z"
2211,42.494753,-71.086536,35,3500,0.865,severe,"https://www.google.com/maps/@42.494753,-71.086536,18z"
2568,42.491124,-71.083977,35,3500,0.865,severe,"https://www.google.com/maps/@42.491124,-71.083977,18z"
2812,42.488546,-71.068257,35,3500,0.865,severe,"https://www.google.com/maps/@42.488546,-71.068257,18z"
48,42.50945,-71.093378,34,3400,0.84,severe,"https://www.google.com/maps/@42.50945,-71.093378,18z"
1128,42.501709,-71.057715,34,3400,0.84,severe,"https://www.google.com/maps/@42.501709,-71.057715,18z"
1294,42.500827,-71.067643,34,3400,0.84,severe,"https://www.google.com/maps/@42.500827,-71.067643,18z"
77,42.509311,-71.078323,33,3300,0.815,severe,"https://www.google.com/maps/@42.509311,-71.078323,18z"
84,42.50906,-71.094475,33,3300,0.815,severe,"https://www.google.com/maps/@42.50906,-71.094475,18z"
1310,42.500663,-71.062794,33,3300,0.815,severe,"https://www.google.com/maps/@42.500663,-71.062794,18z"
2805,42.488727,-71.089164,33,3300,0.815,severe,"https://www.google.com/maps/@42.488727,-71.089164,18z"
3015,42.486057,-71.063619,33,3300,0.815,severe,"https://www.google.com/maps/@42.486057,-71.063619,18z"
2764,42.488905,-71.080941,31,3100,0.766,severe,"https://www.google.com/maps/@42.488905,-71.080941,18z"
2,42.509875,-71.093631,30,3000,0.741,severe,"https://www.google.com/maps/@42.509875,-71.093631,18z"
531,42.505825,-71.055553,30,3000,0.741,severe,"https://www.google.com/maps/@42.505825,-71.055553,18z"
1947,42.496291,-71.078972,30,3000,0.741,severe,"https://www.google.com/maps/@42.496291,-71.078972,18z"
2388,42.49322,-71.08421,30,3000,0.741,severe,"https://www.google.com/maps/@42.49322,-71.08421,18z"
1084,42.502094,-71.08581,29,2900,0.717,severe,"https://www.google.com/maps/@42.502094,-71.08581,18z"
1470,42.49952,-71.094275,29,2900,0.717,severe,"https://www.google.com/maps/@42.49952,-71.094275,18z"
2737,42.489274,-71.070485,29,2900,0.717,severe,"https://www.google.com/maps/@42.489274,-71.070485,18z"
2982,42.486646,-71.065944,29,2900,0.717,severe,"https://www.google.com/maps/@42.486646,-71.065944,18z"
173,42.508455,-71.055695,28,2800,0.692,severe,"https://www.google.com/maps/@42.508455,-71.055695,18z"
399,42.506435,-71.087392,28,2800,0.692,severe,"https://www.google.com/maps/@42.506435,-71.087392,18z"
680,42.504793,-71.083333,28,2800,0.692,severe,"https://www.google.com/maps/@42.504793,-71.083333,18z"
1453,42.499901,-71.062382,28,2800,0.692,severe,"https://www.google.com/maps/@42.499901,-71.062382,18z"
1966,42.495939,-71.083478,28,2800,0.692,severe,"https://www.google.com/maps/@42.495939,-71.083478,18z"
2498,42.491837,-71.094122,28,2800,0.692,severe,"https://www.google.com/maps/@42.491837,-71.094122,18z"
923,42.502962,-71.078783,27,2700,0.667,severe,"https://www.google.com/maps/@42.502962,-71.078783,18z"
1578,42.498996,-71.069952,27,2700,0.667,severe,"https://www.google.com/maps/@42.498996,-71.069952,18z"
2942,42.487153,-71.063712,27,2700,0.667,severe,"https://www.google.com/maps/@42.487153,-71.063712,18z"
2356,42.493741,-71.068639,26,2600,0.642,severe,"https://www.google.com/maps/@42.493741,-71.068639,18z"
2377,42.493533,-71.078894,26,2600,0.642,severe,"https://www.google.com/maps/@42.493533,-71.078894,18z"
2578,42.491085,-71.086945,26,2600,0.642,severe,"https://www.google.com/maps/@42.491085,-71.086945,18z"
